TAB;BETRETEN;VERLASSEN;DAUER_SEKUNDEN
tab1;17:13:40;17:15:10;89,74
tab2;17:15:10;17:15:26;15,82
tab1;17:15:26;17:16:17;51,30
tab3;17:16:17;17:16:37;20,23


FELD;EINGABE;POSITION;ZEIT;TAB_BETRETEN
Tiere 1;Hund;1;17:13:50;17:13:40
Tiere 2;Katze;2;17:13:53;17:13:40
Tiere 3;Affe;3;17:14:00;17:13:40
Tiere 4;Hamster;4;17:14:04;17:13:40
Tiere 5;Hase;5;17:14:08;17:13:40
Tiere 6;Fisch;6;17:14:11;17:13:40
Tiere 7;Pferd;7;17:14:20;17:13:40
Tiere 8;Maus;8;17:14:27;17:13:40
Tiere 9;Ziege;9;17:14:31;17:13:40
Tiere 10;Ochse;10;17:14:54;17:13:40
Gegenstände 1;handy;11;17:15:02;17:13:40
Gegenstände 2;Tisch;12;17:15:33;17:15:26
Gegenstände 3;Hut;13;17:15:36;17:15:26
Gegenstände 4;buch;14;17:15:41;17:15:26
Gegenstände 5;stift;15;17:15:47;17:15:26
Gegenstände 6;Gabel;16;17:15:51;17:15:26
Gegenstände 7;Löffel;17;17:15:55;17:15:26
Gegenstände 8;Messer;18;17:15:58;17:15:26
Gegenstände 9;brille;19;17:16:09;17:15:26
Gegenstände 10;Ball;20;17:16:12;17:15:26


EVENT;Zeit;DETAILS
tab2_notification_shown;17:15:02;{"message":"Neue Aufgabe in Tab2 - sofort überprüfen."}
tab_switch;17:15:10;{"from":"tab1","to":"tab2"}
tab2_task_started;17:15:12;{"totalBubbles":10,"trigger":"first_bubble_click"}
tab2_task_finished;17:15:20;{"completedBubbles":10}
tab_switch;17:15:26;{"from":"tab2","to":"tab1"}
tab_switch;17:16:17;{"from":"tab1","to":"tab3"}


ID;TYP;TEXT;ANGEZEIGT;TAB_BETRETEN;BEANTWORTET;REAKTIONSZEIT_SEK;RICHTIG;FEHLER
0;number;Drücken Sie die Zahl 1;17:14:00;17:13:40;17:16:21;140,59;true;0
1;check;Bestätigen Sie diese Meldung;17:14:11;17:13:40;17:16:23;131,92;true;0
2;cross;Lehnen Sie diese Meldung ab;17:14:31;17:13:40;17:16:24;113,17;true;0
3;text;Schreibe das Wort hallo;17:15:30;17:15:26;17:16:28;58,47;true;0
4;number;Drücken Sie die Zahl 7;17:15:41;17:15:26;17:16:30;48,26;true;0
5;check;Bestätigen Sie diese Meldung;17:15:58;17:15:26;17:16:31;33,33;true;0


GESAMTDAUER_SEKUNDEN;177,09
GESAMT_FEHLER;0
