TAB;BETRETEN;VERLASSEN;DAUER_SEKUNDEN
tab1;18:22:07;18:22:15;7,66
tab3;18:22:15;18:22:17;2,42
tab1;18:22:17;18:22:27;9,99
tab3;18:22:27;18:22:29;1,86
tab1;18:22:29;18:22:52;22,57
tab3;18:22:52;18:22:54;2,15
tab2;18:22:54;18:22:54;0,70
tab1;18:22:54;18:23:20;25,65
tab3;18:23:20;18:23:22;2,27
tab1;18:23:22;18:24:16;53,70
tab2;18:24:16;18:24:18;2,23
tab3;18:24:18;18:24:20;2,12
tab2;18:24:20;18:24:26;5,26
tab3;18:24:26;18:24:27;1,01
tab1;18:24:27;18:24:29;1,94
tab3;18:24:29;18:24:39;10,72


FELD;EINGABE;POSITION;ZEIT;TAB_BETRETEN
Farbe 1;Hase;1;18:22:09;18:22:07
Farbe 2;Maus;2;18:22:11;18:22:07
Farbe 3;Elefant;3;18:22:12;18:22:07
Farbe 4;Tiger;4;18:22:15;18:22:07
Farbe 5;Fuchs;5;18:22:22;18:22:17
Farbe 6;Bäe;6;18:22:24;18:22:17
Farbe 6;Bär;7;18:22:27;18:22:17
Farbe 7;Eichhörnchen;7;18:22:33;18:22:29
Farbe 8;Nilpferd;8;18:22:35;18:22:29
Farbe 9;Giraffe;9;18:22:37;18:22:29
Farbe 10;Affe;10;18:22:39;18:22:29
Lebensmittel 1;Maus;11;18:22:41;18:22:29
Lebensmittel 2;T;12;18:22:42;18:22:29
Lebensmittel 2;Tastatur;12;18:22:48;18:22:29
Lebensmittel 3;USB-Stick;13;18:22:50;18:22:29
Lebensmittel 5;Papier;15;18:23:00;18:22:54
Lebensmittel 6;Block;16;18:23:01;18:22:54
Lebensmittel 7;Stuhl;17;18:23:03;18:22:54
Farbe 1;Lila;18;18:23:27;18:23:22
Farbe 2;Blau;18;18:23:28;18:23:22
Farbe 3;Schwarz;18;18:23:30;18:23:22
Farbe 4;Grün;18;18:23:31;18:23:22
Farbe 5;Rot;18;18:23:32;18:23:22
Farbe 6;Rosa;18;18:23:34;18:23:22
Farbe 7;Weiß;18;18:23:36;18:23:22
Farbe 8;Braun;18;18:23:38;18:23:22
Farbe 9;Geld;18;18:23:43;18:23:22
Farbe 10;Orange;18;18:23:45;18:23:22
Lebensmittel 1;Schweinefleisch;18;18:23:51;18:23:22
Lebensmittel 2;Rindfleisch;18;18:23:53;18:23:22
Lebensmittel 3;Kuchen;18;18:23:57;18:23:22
Lebensmittel 4;Kartoffeln;18;18:24:00;18:23:22
Lebensmittel 5;Karotten;18;18:24:02;18:23:22
Lebensmittel 6;Erbsen;18;18:24:03;18:23:22
Lebensmittel 7;Bohnen;18;18:24:05;18:23:22
Lebensmittel 8;Nudeln;18;18:24:08;18:23:22
Lebensmittel 9;Reis;19;18:24:10;18:23:22
Lebensmittel 10;Schokolade;20;18:24:16;18:23:22


EVENT;Zeit;DETAILS
tab_switch;18:22:15;{"from":"tab1","to":"tab3"}
tab_switch;18:22:17;{"from":"tab3","to":"tab1"}
tab_switch;18:22:27;{"from":"tab1","to":"tab3"}
tab_switch;18:22:29;{"from":"tab3","to":"tab1"}
tab2_notification_shown;18:22:41;{"message":"Neue Aufgabe in Tab2 - sofort überprüfen."}
tab_switch;18:22:52;{"from":"tab1","to":"tab3"}
tab_switch;18:22:54;{"from":"tab3","to":"tab2"}
tab_switch;18:22:54;{"from":"tab2","to":"tab1"}
tab_switch;18:23:20;{"from":"tab1","to":"tab3"}
tab_switch;18:23:22;{"from":"tab3","to":"tab1"}
tab_switch;18:24:16;{"from":"tab1","to":"tab2"}
tab2_task_started;18:24:17;{"totalBubbles":10,"trigger":"first_bubble_click"}
tab_switch;18:24:18;{"from":"tab2","to":"tab3"}
tab_switch;18:24:20;{"from":"tab3","to":"tab2"}
tab2_task_finished;18:24:25;{"completedBubbles":10}
tab_switch;18:24:26;{"from":"tab2","to":"tab3"}
tab_switch;18:24:27;{"from":"tab3","to":"tab1"}
tab_switch;18:24:29;{"from":"tab1","to":"tab3"}


ID;TYP;TEXT;ANGEZEIGT;TAB_BETRETEN;BEANTWORTET;REAKTIONSZEIT_SEK;RICHTIG;FEHLER
0;number;Drücken Sie die Zahl 1;18:22:12;18:22:07;18:22:16;4,46;true;0
1;check;Bestätigen Sie diese Meldung;18:22:24;18:22:17;18:22:28;4,47;true;0
2;cross;Lehnen Sie diese Meldung ab;18:22:37;18:22:29;18:22:53;15,65;true;0
3;number;Drücken Sie die Zahl 7;18:22:56;18:22:54;18:23:22;25,71;true;0
4;check;Bestätigen Sie diese Meldung;18:24:08;18:23:22;18:24:20;11,47;true;0
5;text;Schreibe das Wort hallo;18:24:35;18:24:29;18:24:38;3,42;true;0


GESAMTDAUER_SEKUNDEN;152,26
GESAMT_FEHLER;0
