TAB;BETRETEN;VERLASSEN;DAUER_SEKUNDEN
tab1;00:28:46;00:29:05;19,44
tab3;00:29:05;00:29:15;10,00
tab1;00:29:15;00:30:34;78,47
tab2;00:30:34;00:30:42;7,93
tab3;00:30:42;00:30:52;10,69


FELD;EINGABE;POSITION;ZEIT;TAB_BETRETEN
Tiere 1;Maus;1;00:28:55;00:28:46
Tiere 2;Elefant;2;00:28:58;00:28:46
Tiere 3;Leopard;3;00:29:01;00:28:46
Tiere 4;Löwe;4;00:29:05;00:29:05
Tiere 5;Libelle;5;00:29:20;00:29:15
Tiere 6;Esel;6;00:29:22;00:29:15
Tiere 7;Pferd;7;00:29:25;00:29:15
Tiere 8;Hund;8;00:29:27;00:29:15
Tiere 9;Nilpferd;9;00:29:36;00:29:15
Tiere 10;Katze;10;00:29:42;00:29:15
Gegenstände 1;Maus;11;00:29:45;00:29:15
Gegenstände 2;Kamera;12;00:29:49;00:29:15
Gegenstände 3;Blatt;13;00:29:54;00:29:15
Gegenstände 4;Tisch;14;00:30:01;00:29:15
Gegenstände 5;Stuhl;15;00:30:03;00:29:15
Gegenstände 6;Handy;16;00:30:12;00:29:15
Gegenstände 7;Schachtel;17;00:30:17;00:29:15
Gegenstände 8;Poster;18;00:30:20;00:29:15
Gegenstände 9;Lampe;19;00:30:25;00:29:15
Gegenstände 10;Buch;20;00:30:34;00:30:34


EVENT;Zeit;DETAILS
tab_switch;00:29:05;{"from":"tab1","to":"tab3"}
tab_switch;00:29:15;{"from":"tab3","to":"tab1"}
tab2_notification_shown;00:29:45;{"message":"Neue Aufgabe in Tab2 - sofort überprüfen."}
tab_switch;00:30:34;{"from":"tab1","to":"tab2"}
tab2_task_started;00:30:35;{"totalBubbles":10,"trigger":"first_bubble_click"}
tab2_task_finished;00:30:40;{"completedBubbles":10}
tab_switch;00:30:42;{"from":"tab2","to":"tab3"}


ID;TYP;TEXT;ANGEZEIGT;TAB_BETRETEN;BEANTWORTET;REAKTIONSZEIT_SEK;RICHTIG;FEHLER
0;number;Drücken Sie die Zahl 1;00:29:01;00:29:05;00:29:07;6,38;true;0
1;check;Bestätigen Sie diese Meldung;00:29:22;00:30:42;00:30:43;81,04;true;0
2;cross;Lehnen Sie diese Meldung ab;00:29:36;00:30:42;00:30:44;68,05;true;0
3;number;Drücken Sie die Zahl 7;00:30:01;00:30:42;00:30:45;44,12;true;0
4;check;Bestätigen Sie diese Meldung;00:30:20;00:30:42;00:30:46;26,70;true;0
5;text;Schreibe das Wort hallo;00:30:40;00:30:42;00:30:51;10,98;true;0


GESAMTDAUER_SEKUNDEN;126,54
GESAMT_FEHLER;0
